,Unnamed: 0,YEAR,STATE NAME,DISTRICT NAME,TOTAL POULATION,GROWTH RATE,SEX RATIO,OVERALL LITERACY,FEMALE LITERACY,MALE LITERACY,AREA (SQ. KM) (AREA SQKM),TOTAL SCHOOLS (PREP),TOTAL STUDENTS (PRESTD),TOTAL  TEACHERS: MALE  (PMTCH),TOTAL  TEACHERS: FEMALE  (PFTCH),BLIND (BLC1),LOW VISION (LVC1),HEARING IMPAIRMENT (HEC1),SPEECH IMPAIRMENT (SPC1),LOCOMOTOR IMPAIRMENT (LOC1),MENTAL RETARDATION (MEC1),LEARNING DISABILITY (LEC1),CEREBRAL PALSY (CPC1),AUTISM (AUC1),MULTIPLE (MUC1)
54,54,2015-16,PUNJAB,Fazilka,,,,,,,0.0,227,17674,1052,2754,19,1652,260,369,391,809,10,105,2,191
55,55,2015-16,PUNJAB,PATHANKOT,,,,,,,0.0,176,12906,510,2686,3,181,29,80,103,195,52,33,4,78
56,56,2015-16,CHANDIGARH,CHANDIGARH,1054686.0,17.1,818.0,86.43,81.38,90.54,114.0,184,21243,390,3411,107,1339,147,751,186,435,779,74,23,68
57,57,2015-16,UTTARAKHAND,UTTARKASHI,329686.0,11.75,959.0,75.98,62.23,89.26,8016.0,170,5855,986,716,43,36,40,61,118,97,82,4,18,56
58,58,2015-16,UTTARAKHAND,CHAMOLI,391114.0,5.6,1021.0,83.48,73.2,94.18,8030.0,146,4609,847,665,9,64,38,56,133,174,50,6,3,61
59,59,2015-16,UTTARAKHAND,RUDRAPRAYAG,236857.0,4.14,1120.0,82.09,70.94,94.97,1984.0,177,3752,638,424,12,56,61,86,111,109,96,10,2,45
60,60,2015-16,UTTARAKHAND,TEHRI GARHWAL,616409.0,1.93,1078.0,75.1,61.77,89.91,3642.0,233,9053,1375,1225,18,87,48,79,111,164,122,13,28,105
61,61,2015-16,UTTARAKHAND,DEHRADUN,1698560.0,32.48,902.0,85.24,79.61,90.32,3088.0,608,42652,1720,6027,91,189,175,94,203,317,67,60,38,137
62,62,2015-16,UTTARAKHAND,GARHWAL,686527.0,-1.51,1103.0,82.59,73.26,93.18,5329.0,274,12831,1572,1512,5,54,35,20,93,101,127,2,4,58
63,63,2015-16,UTTARAKHAND,PITHORAGARH,485993.0,5.13,1021.0,82.93,72.97,93.45,7090.0,288,10528,1010,1247,12,143,79,58,97,115,247,17,13,60
64,64,2015-16,UTTARAKHAND,BAGESHWAR,259840.0,5.13,1093.0,80.69,69.59,93.2,2241.0,57,2384,502,352,1,46,27,26,59,61,50,4,2,21
65,65,2015-16,UTTARAKHAND,ALMORA,621927.0,-1.73,1142.0,81.06,70.44,93.57,3144.0,232,6943,1074,1052,3,74,36,69,112,121,68,11,6,57
66,66,2015-16,UTTARAKHAND,CHAMPAWAT,259315.0,15.49,981.0,80.73,68.81,92.65,1766.0,68,2641,483,444,1,36,38,20,59,50,86,2,1,26
67,67,2015-16,UTTARAKHAND,NAINITAL,955128.0,25.2,933.0,84.85,78.21,91.09,4251.0,352,16571,1340,3390,33,67,33,40,126,94,63,11,12,77
68,68,2015-16,UTTARAKHAND,UDHAM SINGH NAGAR,1648367.0,33.4,919.0,74.44,65.73,82.48,2542.0,89,7553,3169,5036,11,156,97,135,276,158,673,11,18,71
69,69,2015-16,UTTARAKHAND,HARDWAR,1927029.0,33.16,879.0,74.62,65.96,82.26,2360.0,348,32909,1792,3546,15,90,122,95,293,254,82,7,9,125
70,70,2015-16,HARYANA,PANCHKULA,558890.0,19.32,870.0,83.44,77.48,88.65,898.0,222,12122,227,2025,5,269,42,25,129,284,71,16,2,40
71,71,2015-16,HARYANA,AMBALA,1136784.0,12.06,882.0,82.89,76.64,88.47,1574.0,704,25748,730,3841,24,156,113,100,222,432,79,32,9,111
72,72,2015-16,HARYANA,YAMUNANAGAR,1214162.0,16.56,877.0,78.93,71.99,85.06,1768.0,764,23498,1102,3372,22,118,111,63,243,477,294,34,10,126
73,73,2015-16,HARYANA,KURUKSHETRA,964231.0,16.81,889.0,76.7,69.18,83.46,1530.0,654,18993,1021,2580,14,121,107,53,255,542,50,30,6,147
