,STATE NAME,DISTRICT NAME,TOTAL POULATION,GROWTH RATE,SEX RATIO,OVERALL LITERACY,FEMALE LITERACY,MALE LITERACY,AREA (SQ. KM) (AREA SQKM)
154,UTTAR PRADESH,SHAHJAHANPUR,3002376.0,17.84,865.0,61.61,51.73,70.09,4388.0
155,UTTAR PRADESH,KHERI,4013634.0,25.14,887.0,62.71,52.62,71.58,7680.0
156,UTTAR PRADESH,SITAPUR,4474446.0,23.62,879.0,63.38,52.8,72.61,5743.0
157,UTTAR PRADESH,HARDOI,4091380.0,20.39,856.0,68.89,59.17,77.2,5986.0
158,UTTAR PRADESH,UNNAO,3110595.0,15.19,901.0,68.29,58.54,77.06,4558.0
159,UTTAR PRADESH,LUCKNOW,4588455.0,25.79,906.0,79.33,73.88,84.27,2528.0
160,UTTAR PRADESH,RAE BARELI,3404004.0,18.51,941.0,69.04,58.06,79.39,4609.0
161,UTTAR PRADESH,FARRUKHABAD,1887577.0,20.2,874.0,70.57,60.51,79.34,2181.0
162,UTTAR PRADESH,KANNAUJ,1658005.0,19.37,879.0,74.01,64.46,82.36,2093.0
163,UTTAR PRADESH,ETAWAH,1579160.0,17.95,867.0,79.99,71.16,87.64,2311.0
164,UTTAR PRADESH,AURAIYA,1372287.0,16.3,864.0,80.25,71.97,87.37,2016.0
165,UTTAR PRADESH,KANPUR DEHAT,1795092.0,14.82,862.0,77.52,68.48,85.27,3021.0
166,UTTAR PRADESH,KANPUR NAGAR,4572951.0,9.72,852.0,81.31,76.89,85.07,3155.0
167,UTTAR PRADESH,JALAUN,1670718.0,14.87,865.0,75.16,63.88,84.89,4565.0
168,UTTAR PRADESH,JHANSI,2000755.0,14.66,885.0,76.37,64.88,86.58,5024.0
169,UTTAR PRADESH,LALITPUR,1218002.0,24.57,905.0,64.95,52.26,76.41,5039.0
170,UTTAR PRADESH,HAMIRPUR (U,1104021.0,5.78,860.0,70.16,57.19,81.27,4021.0
171,UTTAR PRADESH,MAHOBA,876055.0,23.66,880.0,66.94,54.65,77.72,3144.0
172,UTTAR PRADESH,BANDA,1799541.0,17.06,863.0,68.11,54.95,79.38,4408.0
173,UTTAR PRADESH,CHITRAKOOT,990626.0,29.29,879.0,66.52,54.03,77.42,3216.0
174,UTTAR PRADESH,FATEHPUR,2632684.0,14.05,900.0,68.78,57.76,78.69,4152.0
175,UTTAR PRADESH,PRATAPGARH,3173752.0,16.2,994.0,73.1,60.99,85.29,3717.0
176,UTTAR PRADESH,KAUSHAMBI,1596909.0,23.49,905.0,63.69,50.76,75.35,1779.0
177,UTTAR PRADESH,ALLAHABAD,5959798.0,20.74,902.0,74.41,62.67,85.0,5482.0
178,UTTAR PRADESH,BARABANKI,3257983.0,21.86,908.0,63.76,54.1,72.49,4402.0
179,UTTAR PRADESH,FAIZABAD,2468371.0,18.16,961.0,70.63,60.72,80.21,2341.0
180,UTTAR PRADESH,AMBEDKAR NAGAR,2398709.0,18.35,976.0,74.37,64.62,83.95,2350.0
181,UTTAR PRADESH,Sultanpur,3790922.0,17.92,978.0,71.14,60.17,81.99,4436.0
182,UTTAR PRADESH,BAHRAICH,3478257.0,46.08,891.0,51.1,40.76,60.23,5237.0
183,UTTAR PRADESH,SHRAWASTI,1114615.0,-5.25,875.0,49.13,37.07,59.55,1640.0
184,UTTAR PRADESH,BALRAMPUR (U,2149066.0,27.74,922.0,51.76,40.92,61.66,3349.0
185,UTTAR PRADESH,GONDA,3431386.0,24.07,922.0,61.16,49.13,72.23,4003.0
186,UTTAR PRADESH,SIDDHARTHNAGAR,2553526.0,25.17,970.0,61.81,49.61,73.79,2895.0
187,UTTAR PRADESH,BASTI,2461056.0,18.05,959.0,69.69,58.35,80.65,2688.0
188,UTTAR PRADESH,SANT KABIR NAGAR,1714300.0,20.71,969.0,69.01,56.99,80.72,1646.0
189,UTTAR PRADESH,MAHARAJGANJ,2665292.0,22.61,938.0,64.3,50.14,77.62,2952.0
190,UTTAR PRADESH,GORAKHPUR,4436275.0,17.69,944.0,73.25,61.54,84.38,3321.0
191,UTTAR PRADESH,KUSHINAGAR,3560830.0,23.08,955.0,67.66,54.74,80.1,2905.0
192,UTTAR PRADESH,DEORIA,3098637.0,14.23,1013.0,73.53,61.34,86.07,2540.0
193,UTTAR PRADESH,AZAMGARH,4616509.0,17.17,1017.0,72.69,62.65,83.08,4054.0
194,UTTAR PRADESH,MAU,2205170.0,18.94,978.0,75.16,65.59,84.61,1713.0
